Classification Name;Country Name;Data;SUM([Data])/1000;SUM([Data])/1000
China;Pakistan;7704180191,6;7704180,1916;7704180,1916
China;Kenya;1096466123,7;1096466,1237;1096466,1237
China;Angola;845396877,4;845396,8774;845396,8774
China;Ethiopia;541433281,3;541433,2813;541433,2813
China;Lao PDR;533205238,5;533205,2385;533205,2385
China;Zambia;516851633,2;516851,6332;516851,6332
China;Cameroon;511755472,7;511755,4727;511755,4727
Japan;Pakistan;389622891,9;389622,8919;389622,8919
Germany, Fed.Rep. Of;Pakistan;364017605,9;364017,6059;364017,6059
France;Cote d'Ivoire;354642950,8;354642,9508;354642,9508
Japan;Uzbekistan;354101413,4;354101,4134;354101,4134
China;Nigeria;298953897,7;298953,8977;298953,8977
China;Cambodia;283757757,1;283757,7571;283757,7571
China;Myanmar;262699054,8;262699,0548;262699,0548
China;Tanzania;257081229,1;257081,2291;257081,2291
China;Mozambique;241294116,4;241294,1164;241294,1164
China;Congo, Dem. Rep.;240248292,2;240248,2922;240248,2922
China;Bangladesh;231094334,1;231094,3341;231094,3341
China;Congo, Rep.;222910105,3;222910,1053;222910,1053
France;Pakistan;218705393,4;218705,3934;218705,3934
China;Ghana;212688219;212688,219;212688,219
China;Uganda;200583709,2;200583,7092;200583,7092
India;Bhutan;197261055;197261,055;197261,055
China;Uzbekistan;189152346,2;189152,3462;189152,3462
Russian Federation;Bangladesh;188345000;188345;188345
United States;Pakistan;159718081,9;159718,0819;159718,0819
Japan;Bangladesh;142413212,7;142413,2127;142413,2127
China;Djibouti;136153764,3;136153,7643;136153,7643
Multiple Lenders;Bangladesh;135422500;135422,5;135422,5
Saudi Arabia;Yemen, Rep.;133117595,7;133117,5957;133117,5957
Venezuela, Republic Bolivarian;Haiti;129221220,1;129221,2201;129221,2201
Japan;Angola;120548097,4;120548,0974;120548,0974
Germany, Fed.Rep. Of;Myanmar;114753837,8;114753,8378;114753,8378
Russian Federation;Cambodia;114444000;114444;114444
Saudi Arabia;Pakistan;113467672,5;113467,6725;113467,6725
China;Kyrgyz Republic;110767694,4;110767,6944;110767,6944
China;Maldives;108329526,2;108329,5262;108329,5262
China;Cote d'Ivoire;107396973,3;107396,9733;107396,9733
China;Tajikistan;107344909,2;107344,9092;107344,9092
China;Mongolia;103838603,7;103838,6037;103838,6037
France;Cameroon;103730740,8;103730,7408;103730,7408
Saudi Arabia;Mauritania;103522571,5;103522,5715;103522,5715
China;Guinea;99457910,4;99457,9104;99457,9104
France;Myanmar;95581196,7;95581,1967;95581,1967
China;Senegal;92460265,6;92460,2656;92460,2656
France;Kenya;91514710,3;91514,7103;91514,7103
Brazil;Mozambique;88615555,5;88615,5555;88615,5555
Korea, Republic Of;Pakistan;86865791,1;86865,7911;86865,7911
India;Bangladesh;84070401,2;84070,4012;84070,4012
Russian Federation;Yemen, Rep.;83605481,5;83605,4815;83605,4815
Thailand;Lao PDR;83366116,1;83366,1161;83366,1161
Japan;Kenya;75834652,4;75834,6524;75834,6524
France;Senegal;72329755,3;72329,7553;72329,7553
India;Ghana;70431832,4;70431,8324;70431,8324
Russian Federation;Afghanistan;66038333,3;66038,3333;66038,3333
China;Papua New Guinea;65065773,8;65065,7738;65065,7738
Russian Federation;Lao PDR;61944750;61944,75;61944,75
China;Mali;58711154,1;58711,1541;58711,1541
China;Togo;55552493,3;55552,4933;55552,4933
Egypt;Ghana;54078722,2;54078,7222;54078,7222
Australia;Papua New Guinea;53560164;53560,164;53560,164
Multiple Lenders;Congo, Dem. Rep.;51508000;51508;51508
France;Tanzania;50564760,5;50564,7605;50564,7605
India;Ethiopia;49947066,4;49947,0664;49947,0664
South Africa;Angola;49347065,9;49347,0659;49347,0659
France;Nigeria;45081161,1;45081,1611;45081,1611
Japan;Tanzania;41934147,5;41934,1475;41934,1475
India;Tanzania;40079480,2;40079,4802;40079,4802
Libya;Chad;39634500;39634,5;39634,5
India;Zambia;39225851,7;39225,8517;39225,8517
Japan;Mongolia;38905387,3;38905,3873;38905,3873
Japan;Myanmar;38248310,8;38248,3108;38248,3108
China;Mauritania;37783229,4;37783,2294;37783,2294
China;Fiji;37593021,6;37593,0216;37593,0216
China;Chad;36440634,9;36440,6349;36440,6349
India;Senegal;36092490,3;36092,4903;36092,4903
United States;Somalia;34222000;34222;34222
Portugal;Angola;33868583,3;33868,5833;33868,5833
Germany, Fed.Rep. Of;Kenya;32644659,1;32644,6591;32644,6591
Canada;Pakistan;32461352;32461,352;32461,352
India;Cote d'Ivoire;31994451;31994,451;31994,451
Spain;Nicaragua;31419464,2;31419,4642;31419,4642
China;Nepal;30553928,8;30553,9288;30553,9288
Canada;Angola;30109000;30109;30109
India;Mozambique;29036844,2;29036,8442;29036,8442
India;Myanmar;28669201,3;28669,2013;28669,2013
United States;Ghana;28404488,9;28404,4889;28404,4889
China;Niger;28361760,1;28361,7601;28361,7601
Iraq;Mozambique;27792625;27792,625;27792,625
Italy;Ethiopia;27280936,2;27280,9362;27280,9362
Turkey;Senegal;27182303,8;27182,3038;27182,3038
Portugal;Mozambique;27085224,4;27085,2244;27085,2244
Equatorial Guinea;Chad;26482303,7;26482,3037;26482,3037
France;Ethiopia;26201593,2;26201,5932;26201,5932
United Kingdom;Uganda;26115830,6;26115,8306;26115,8306
Japan;Cameroon;25434125,6;25434,1256;25434,1256
Kuwait;Pakistan;24888807,3;24888,8073;24888,8073
China;Benin;24270542,8;24270,5428;24270,5428
China;Guyana;24210720,6;24210,7206;24210,7206
Austria;Myanmar;23699881,5;23699,8815;23699,8815
Russian Federation;Ethiopia;23230000;23230;23230
Russian Federation;Pakistan;23122000;23122;23122
Russian Federation;Zambia;22831202,5;22831,2025;22831,2025
China;Malawi;22813053;22813,053;22813,053
United States;Kenya;22284857,1;22284,8571;22284,8571
Sweden;Pakistan;21865398;21865,398;21865,398
Russian Federation;Mozambique;21475583,4;21475,5834;21475,5834
France;Bangladesh;20953830,2;20953,8302;20953,8302
Belgium;Congo, Rep.;20500499,3;20500,4993;20500,4993
South Africa;Zambia;19691368,4;19691,3684;19691,3684
France;Ghana;19597662,5;19597,6625;19597,6625
Kuwait;Mauritania;19082272,1;19082,2721;19082,2721
China;Samoa;18861999,9;18861,9999;18861,9999
India;Nigeria;18478400;18478,4;18478,4
France;Mali;18113014,2;18113,0142;18113,0142
Switzerland;Pakistan;18105925;18105,925;18105,925
India;Mali;18080209,8;18080,2098;18080,2098
China;Tonga;17992101,1;17992,1011;17992,1011
Turkey;Congo, Rep.;17963073,8;17963,0738;17963,0738
Portugal;Cabo Verde;17938499;17938,499;17938,499
India;Congo, Dem. Rep.;17462072;17462,072;17462,072
Kuwait;Bangladesh;16968794,9;16968,7949;16968,7949
Korea, Republic Of;Angola;16956934,5;16956,9345;16956,9345
China;Rwanda;16953859,5;16953,8595;16953,8595
Brazil;Congo, Rep.;16512600;16512,6;16512,6
Turkey;Cameroon;16210222,2;16210,2222;16210,2222
China;Vanuatu;16059165,6;16059,1656;16059,1656
Turkey;Ghana;16037181,8;16037,1818;16037,1818
France;Mozambique;15737895;15737,895;15737,895
France;Burkina Faso;15665885,5;15665,8855;15665,8855
India;Nepal;15462294,8;15462,2948;15462,2948
Malaysia;Lao PDR;15341000;15341;15341
France;Uganda;15216456,4;15216,4564;15216,4564
Russian Federation;Moldova;15153000;15153;15153
India;Mauritania;14817638,6;14817,6386;14817,6386
Libya;Mozambique;14422153,8;14422,1538;14422,1538
Korea, Republic Of;Bangladesh;14210659,2;14210,6592;14210,6592
Kuwait;Senegal;14157671,1;14157,6711;14157,6711
Japan;Cambodia;14022735,6;14022,7356;14022,7356
France;Congo, Rep.;13988505,3;13988,5053;13988,5053
France;Niger;13973257,8;13973,2578;13973,2578
France;Guinea;13672568,5;13672,5685;13672,5685
United States;Cameroon;13388382,6;13388,3826;13388,3826
Saudi Arabia;Bangladesh;13204865;13204,865;13204,865
Angola;Guinea;12909561,4;12909,5614;12909,5614
Japan;Papua New Guinea;12544758,2;12544,7582;12544,7582
France;Cambodia;12531454,5;12531,4545;12531,4545
India;Cameroon;12478771,4;12478,7714;12478,7714
Japan;Kyrgyz Republic;12245410;12245,41;12245,41
Multiple Lenders;Pakistan;12115944,4;12115,9444;12115,9444
Kuwait;Ethiopia;11735238,4;11735,2384;11735,2384
India;Kenya;11516511,9;11516,5119;11516,5119
Saudi Arabia;Mali;11284935,5;11284,9355;11284,9355
Saudi Arabia;Guinea;11095241,2;11095,2412;11095,2412
Korea, Republic Of;Myanmar;11026781,4;11026,7814;11026,7814
France;Mauritania;10703756,4;10703,7564;10703,7564
Japan;Yemen, Rep.;10640716;10640,716;10640,716
Japan;Nepal;10464158,9;10464,1589;10464,1589
Libya;Mauritania;10413333,3;10413,3333;10413,3333
Saudi Arabia;Senegal;10352825,9;10352,8259;10352,8259
Korea, Republic Of;Tanzania;10286758,6;10286,7586;10286,7586
Germany, Fed.Rep. Of;Mauritania;10171515,6;10171,5156;10171,5156
India;Malawi;10056553,6;10056,5536;10056,5536
Italy;Djibouti;9936695,2;9936,6952;9936,6952
Korea, Republic Of;Lao PDR;9882389,9;9882,3899;9882,3899
India;Chad;9809597,4;9809,5974;9809,5974
Netherlands;Pakistan;9774275,1;9774,2751;9774,2751
China;Yemen, Rep.;9667634,2;9667,6342;9667,6342
China;Gambia, The;9645129,6;9645,1296;9645,1296
United States;Moldova;9537600;9537,6;9537,6
Russian Federation;Uzbekistan;9458229,3;9458,2293;9458,2293
Germany, Fed.Rep. Of;Ghana;9380531,5;9380,5315;9380,5315
India;Congo, Rep.;8982505,3;8982,5053;8982,5053
Kuwait;Djibouti;8775517,5;8775,5175;8775,5175
Austria;Pakistan;8748882;8748,882;8748,882
Norway;Cameroon;8481732,5;8481,7325;8481,7325
Korea, Republic Of;Cambodia;8441941,2;8441,9412;8441,9412
Japan;Uganda;8413021,6;8413,0216;8413,0216
Russian Federation;Congo, Rep.;8285750;8285,75;8285,75
Spain;Honduras;8252246,8;8252,2468;8252,2468
Italy;Pakistan;8249554,7;8249,5547;8249,5547
United Kingdom;Zambia;8248717,9;8248,7179;8248,7179
China;Madagascar;8239301,2;8239,3012;8239,3012
China;Lesotho;8124686,1;8124,6861;8124,6861
Saudi Arabia;Djibouti;8019895,6;8019,8956;8019,8956
Saudi Arabia;Uzbekistan;8010329,1;8010,3291;8010,3291
China;Honduras;7954000;7954;7954
Spain;Angola;7912285,8;7912,2858;7912,2858
France;Zambia;7912087,5;7912,0875;7912,0875
Germany, Fed.Rep. Of;Bangladesh;7876744,8;7876,7448;7876,7448
Italy;Myanmar;7766993,3;7766,9933;7766,9933
Kuwait;Benin;7751139,8;7751,1398;7751,1398
France;Uzbekistan;7674901,7;7674,9017;7674,9017
Venezuela, Republic Bolivarian;Honduras;7644081,2;7644,0812;7644,0812
India;Niger;7624250,2;7624,2502;7624,2502
Kuwait;Yemen, Rep.;7606831,9;7606,8319;7606,8319
Kuwait;Mali;7588062,9;7588,0629;7588,0629
Turkey;Kyrgyz Republic;7537523,8;7537,5238;7537,5238
Turkey;Ethiopia;7448000;7448;7448
Korea, Republic Of;Ethiopia;7363611,4;7363,6114;7363,6114
Denmark;Bangladesh;7304137,4;7304,1374;7304,1374
Spain;Kenya;7274147,7;7274,1477;7274,1477
Germany, Fed.Rep. Of;Uzbekistan;7256251,3;7256,2513;7256,2513
Saudi Arabia;Maldives;7170234,7;7170,2347;7170,2347
China;Burkina Faso;7031866,9;7031,8669;7031,8669
China;Sierra Leone;7028084,8;7028,0848;7028,0848
Germany, Fed.Rep. Of;Kosovo;7011686;7011,686;7011,686
Norway;Pakistan;6978924;6978,924;6978,924
Kuwait;Uzbekistan;6844663,9;6844,6639;6844,6639
Saudi Arabia;Ethiopia;6808415;6808,415;6808,415
France;Madagascar;6771790,5;6771,7905;6771,7905
United States;Yemen, Rep.;6756953,8;6756,9538;6756,9538
India;Cambodia;6729222,3;6729,2223;6729,2223
Belgium;Kenya;6631691,9;6631,6919;6631,6919
India;Central African Republic;6628933,3;6628,9333;6628,9333
India;Maldives;6608844,6;6608,8446;6608,8446
India;Burundi;6599444,4;6599,4444;6599,4444
Venezuela, Republic Bolivarian;Guyana;6584226,2;6584,2262;6584,2262
Kuwait;Burkina Faso;6578855,8;6578,8558;6578,8558
Kuwait;Guinea;6561066,4;6561,0664;6561,0664
United Kingdom;Myanmar;6461251,2;6461,2512;6461,2512
Brazil;Honduras;6400692,3;6400,6923;6400,6923
Saudi Arabia;Niger;6296818,2;6296,8182;6296,8182
Switzerland;Congo, Rep.;6249686,8;6249,6868;6249,6868
India;Angola;6212071,4;6212,0714;6212,0714
Saudi Arabia;Tajikistan;6136451;6136,451;6136,451
Spain;Pakistan;6081333,3;6081,3333;6081,3333
Multiple Lenders;Honduras;6075503;6075,503;6075,503
India;Togo;6058952,4;6058,9524;6058,9524
Kuwait;Gambia, The;6050404,6;6050,4046;6050,4046
Angola;Chad;5956692,3;5956,6923;5956,6923
Multiple Lenders;Haiti;5944853,2;5944,8532;5944,8532
India;Lao PDR;5808052,9;5808,0529;5808,0529
Belgium;Pakistan;5787725,4;5787,7254;5787,7254
Congo, Rep.;Niger;5773444,4;5773,4444;5773,4444
Cameroon;Chad;5704066,3;5704,0663;5704,0663
Korea, Republic Of;Ghana;5683832,9;5683,8329;5683,8329
Belarus;Bangladesh;5659000;5659;5659
France;Cabo Verde;5571022,1;5571,0221;5571,0221
Kuwait;Honduras;5441393,4;5441,3934;5441,3934
Kuwait;Rwanda;5342105,9;5342,1059;5342,1059
Poland;Angola;5325363,7;5325,3637;5325,3637
Spain;Senegal;5305741,5;5305,7415;5305,7415
Germany, Fed.Rep. Of;Mongolia;5201911,8;5201,9118;5201,9118
Qatar;Guinea;5071666,7;5071,6667;5071,6667
Kuwait;Togo;5056308,7;5056,3087;5056,3087
Kuwait;Sierra Leone;5038154,6;5038,1546;5038,1546
Korea, Republic Of;Nicaragua;4857407,5;4857,4075;4857,4075
India;Guinea-Bissau;4856363,6;4856,3636;4856,3636
Spain;Ghana;4855585;4855,585;4855,585
Iran, Islamic Republic Of;Nicaragua;4798500;4798,5;4798,5
Spain;Cabo Verde;4752025,9;4752,0259;4752,0259
Kuwait;Mongolia;4633947,9;4633,9479;4633,9479
United Arab Emirates;Pakistan;4546363,6;4546,3636;4546,3636
Saudi Arabia;Gambia, The;4526117,4;4526,1174;4526,1174
Poland;Ethiopia;4488579,2;4488,5792;4488,5792
United Arab Emirates;Bangladesh;4479216;4479,216;4479,216
United Arab Emirates;Mali;4449591,6;4449,5916;4449,5916
Korea, Republic Of;Uzbekistan;4429738;4429,738;4429,738
Spain;Mauritania;4419098,1;4419,0981;4419,0981
India;Gambia, The;4394141,4;4394,1414;4394,1414
Kuwait;Tajikistan;4286097,3;4286,0973;4286,0973
Germany, Fed.Rep. Of;Kyrgyz Republic;4218818,1;4218,8181;4218,8181
Kuwait;Tanzania;4202859,9;4202,8599;4202,8599
India;Djibouti;4168600;4168,6;4168,6
Germany, Fed.Rep. Of;Ethiopia;4167968;4167,968;4167,968
Multiple Lenders;Congo, Rep.;4136000;4136;4136
Korea, Republic Of;Mongolia;4107860,4;4107,8604;4107,8604
Saudi Arabia;Afghanistan;4092454,3;4092,4543;4092,4543
Korea, Republic Of;Nepal;4081008,5;4081,0085;4081,0085
Japan;Lao PDR;4073903,5;4073,9035;4073,9035
Spain;Cote d'Ivoire;4027202,9;4027,2029;4027,2029
Iraq;Mali;4024000;4024;4024
Kuwait;Malawi;3919301,4;3919,3014;3919,3014
Saudi Arabia;Rwanda;3876699,2;3876,6992;3876,6992
Kuwait;Niger;3822777,5;3822,7775;3822,7775
Finland;Kenya;3786055,3;3786,0553;3786,0553
Thailand;Cambodia;3749542,4;3749,5424;3749,5424
